cell_id,district,latitude,longitude,spatial_block_id,slope_mean,elevation_mean,curvature_mean,twi_mean,terrain_susceptibility_score,terrain_susceptibility_class,pu_terrain_similarity,pu_similarity_class,primary_terrain_contributors,label_status,historical_event_id
KOH_00063,Kohima,25.67635,93.913865,BLK_KOH_R15_C20,34.399181,1144.680176,-0.165266,5.612497,78.58,HIGH,0.3649,LOW_TERRAIN_SIMILARITY,"Slope (54%), TWI (13%), Curvature (14%), Relief (19%)",UNKNOWN,
KOH_00064,Kohima,25.680864,93.9139,BLK_KOH_R15_C20,33.165695,1053.470581,0.295133,4.966721,62.55,MODERATE,0.2794,LOW_TERRAIN_SIMILARITY,"Slope (65%), TWI (10%), Curvature (1%), Relief (24%)",UNKNOWN,
KOH_00065,Kohima,25.685379,93.913934,BLK_KOH_R15_C20,28.011999,839.056763,-0.307405,6.190512,85.21,VERY_HIGH,0.1337,DISSIMILAR_TERRAIN,"Slope (49%), TWI (16%), Curvature (17%), Relief (18%)",UNKNOWN,
KOH_00066,Kohima,25.689893,93.913969,BLK_KOH_R15_C20,24.642057,813.706604,0.105946,5.578658,57.57,MODERATE,0.7625,HIGH_TERRAIN_SIMILARITY,"Slope (52%), TWI (17%), Curvature (9%), Relief (22%)",UNKNOWN,
KOH_00067,Kohima,25.694408,93.914003,BLK_KOH_R15_C20,21.441132,753.759521,-0.032609,5.802769,58.42,MODERATE,0.7716,HIGH_TERRAIN_SIMILARITY,"Slope (50%), TWI (19%), Curvature (14%), Relief (17%)",UNKNOWN,
KOH_00068,Kohima,25.698922,93.914037,BLK_KOH_R15_C20,19.412077,776.239441,-0.172086,6.179443,61.04,MODERATE,0.6881,MODERATE_TERRAIN_SIMILARITY,"Slope (43%), TWI (22%), Curvature (19%), Relief (16%)",UNKNOWN,
KOH_00069,Kohima,25.703223,93.914305,BLK_KOH_R15_C20,18.151382,896.388977,0.089317,5.653584,48.96,LOW,0.7312,MODERATE_TERRAIN_SIMILARITY,"Slope (49%), TWI (21%), Curvature (11%), Relief (19%)",UNKNOWN,
KOH_00070,Kohima,25.706433,93.915753,BLK_KOH_R15_C20,18.272009,953.551086,0.372005,5.24679,36.37,LOW,0.4173,MODERATE_TERRAIN_SIMILARITY,"Slope (66%), TWI (21%), Curvature (0%), Relief (13%)",UNKNOWN,
KOH_00071,Kohima,25.613882,93.919179,BLK_KOH_R13_C20,21.933649,1656.669922,0.258494,5.332263,48.76,LOW,0.562,MODERATE_TERRAIN_SIMILARITY,"Slope (62%), TWI (17%), Curvature (3%), Relief (18%)",UNKNOWN,
KOH_00072,Kohima,25.617634,93.918871,BLK_KOH_R13_C20,17.410759,1666.114868,-0.069513,6.129477,55.18,MODERATE,0.703,MODERATE_TERRAIN_SIMILARITY,"Slope (44%), TWI (24%), Curvature (16%), Relief (16%)",UNKNOWN,
