cell_id,district,exposure_status,nearest_road_distance_m,nearest_road_class,road_length_in_cell_m,nearest_hospital_distance_m,nearest_hospital_name,nearest_school_distance_m,nearest_school_name
AIZ_08683,Aizawl,AVAILABLE,195.4,trunk,266.9,8147.4,CHC; Sakawrdai,12832.4,Children's Training School
AIZ_08684,Aizawl,AVAILABLE,445.1,trunk,0.0,8647.3,CHC; Sakawrdai,13210.5,Children's Training School
AIZ_08685,Aizawl,AVAILABLE,567.1,trunk,0.0,9147.2,CHC; Sakawrdai,13596.5,Children's Training School
AIZ_08686,Aizawl,AVAILABLE,675.7,trunk,0.0,9647.1,CHC; Sakawrdai,13989.7,Children's Training School
AIZ_08687,Aizawl,AVAILABLE,1029.9,trunk,0.0,10147.1,CHC; Sakawrdai,14389.6,Children's Training School
AIZ_08688,Aizawl,AVAILABLE,1226.5,trunk,0.0,10647.0,CHC; Sakawrdai,14795.5,Children's Training School
AIZ_08689,Aizawl,AVAILABLE,1108.8,trunk,0.0,11146.9,CHC; Sakawrdai,15207.1,Children's Training School
AIZ_08690,Aizawl,AVAILABLE,1171.1,trunk,0.0,11646.9,CHC; Sakawrdai,15623.8,Children's Training School
AIZ_08691,Aizawl,AVAILABLE,1220.6,trunk,0.0,12146.8,CHC; Sakawrdai,16045.2,Children's Training School
AIZ_08692,Aizawl,AVAILABLE,1265.1,trunk,0.0,12646.7,CHC; Sakawrdai,16471.1,Children's Training School
AIZ_08693,Aizawl,AVAILABLE,1196.0,trunk,0.0,13146.7,CHC; Sakawrdai,16901.0,Children's Training School
AIZ_08694,Aizawl,AVAILABLE,984.5,trunk,0.0,13646.7,CHC; Sakawrdai,17334.7,Children's Training School
AIZ_08695,Aizawl,AVAILABLE,840.5,trunk,0.0,14146.6,CHC; Sakawrdai,17771.8,Children's Training School
AIZ_08696,Aizawl,AVAILABLE,808.6,trunk,0.0,14646.6,CHC; Sakawrdai,18212.2,Children's Training School
AIZ_08697,Aizawl,AVAILABLE,1009.2,trunk,0.0,15146.5,CHC; Sakawrdai,18655.6,Children's Training School
AIZ_08698,Aizawl,AVAILABLE,1046.8,track,0.0,15646.5,CHC; Sakawrdai,19101.8,Children's Training School
AIZ_08699,Aizawl,AVAILABLE,1105.7,track,0.0,16146.5,CHC; Sakawrdai,19550.6,Children's Training School
AIZ_08700,Aizawl,AVAILABLE,1329.2,track,0.0,16646.4,CHC; Sakawrdai,20001.9,Children's Training School
AIZ_08701,Aizawl,AVAILABLE,1676.6,track,0.0,17146.4,CHC; Sakawrdai,20455.4,Children's Training School
AIZ_08702,Aizawl,AVAILABLE,2086.8,track,0.0,17646.4,CHC; Sakawrdai,20911.0,Children's Training School
AIZ_08703,Aizawl,AVAILABLE,2529.6,track,0.0,18146.4,CHC; Sakawrdai,21368.6,Children's Training School
AIZ_08704,Aizawl,AVAILABLE,2990.5,track,0.0,18646.3,CHC; Sakawrdai,21828.0,Children's Training School
AIZ_08705,Aizawl,AVAILABLE,3460.8,track,0.0,19145.2,CHC; Sakawrdai,22288.7,Children's Training School
AIZ_08706,Aizawl,AVAILABLE,3725.5,track,0.0,19431.5,CHC; Sakawrdai,22564.6,Children's Training School
AIZ_08707,Aizawl,AVAILABLE,1591.3,tertiary,0.0,18981.8,Sub-District Hospital;Saitual,31884.8,Ferrando
AIZ_08708,Aizawl,AVAILABLE,1931.3,tertiary,0.0,18614.7,Sub-District Hospital;Saitual,31514.0,Ferrando
AIZ_08709,Aizawl,AVAILABLE,2198.5,tertiary,0.0,18135.9,Sub-District Hospital;Saitual,31138.0,Ferrando
AIZ_08710,Aizawl,AVAILABLE,1773.8,tertiary,0.0,17636.4,Sub-District Hospital;Saitual,30764.0,Ferrando
