cell_id,district,lat,lon,elevation_mean,elevation_min,elevation_max,slope_mean,slope_max,aspect_mean,curvature_mean,twi_mean
KOH_00191,Kohima,25.635561,93.938457,1992.690918,1905.456299,2105.991211,20.361919,41.412502,27.342020,-0.088581,6.140912
KOH_00192,Kohima,25.640075,93.938492,2174.460449,2040.741699,2268.869141,25.109308,45.561028,8.743920,0.029057,5.812422
KOH_00193,Kohima,25.644590,93.938527,2301.381592,2228.761230,2369.010742,14.596678,32.547386,39.963516,0.043509,5.999480
KOH_00194,Kohima,25.649104,93.938563,2298.437256,2233.533203,2400.526855,20.795624,35.860611,102.639778,-0.100167,5.723161
KOH_00195,Kohima,25.653619,93.938598,2225.380127,1970.757446,2328.288818,28.368982,55.715614,116.390198,-0.144287,5.864346
KOH_00196,Kohima,25.658133,93.938633,2144.728760,1887.253662,2290.791016,36.626499,61.521221,109.059044,0.273926,5.099691
KOH_00197,Kohima,25.662648,93.938669,1924.277222,1663.338623,2195.114258,42.843147,55.159409,103.170319,-0.068809,5.466051
KOH_00198,Kohima,25.667162,93.938704,1809.070312,1644.797607,2039.356323,40.821690,54.531750,147.099609,0.115844,5.034895
KOH_00199,Kohima,25.671677,93.938739,1548.678589,1365.427246,1760.134766,38.892673,62.994537,141.621216,-0.198952,5.525852
KOH_00200,Kohima,25.676191,93.938775,1495.972534,1337.561890,1649.401733,29.083708,45.646152,56.769554,-0.127084,6.222593
KOH_00201,Kohima,25.680706,93.938810,1623.168701,1486.224609,1724.448120,33.200642,52.111118,55.855671,0.369978,4.815253
KOH_00202,Kohima,25.685220,93.938845,1381.952881,1132.993286,1615.157959,40.422909,57.002163,194.809616,0.318737,4.772574
KOH_00203,Kohima,25.689735,93.938881,1106.533569,934.743103,1272.748901,34.595860,51.288277,180.321426,-0.032732,5.397708
KOH_00204,Kohima,25.694250,93.938916,934.897705,857.648010,1082.174194,21.759192,44.726765,157.503738,-0.183471,6.217552
KOH_00205,Kohima,25.698764,93.938952,843.084656,791.710388,914.632263,14.569559,35.627663,130.877243,-0.116653,7.081824
