cell_id,district,latitude,longitude,smap_ease2_grid_cell,observation_timestamp,soil_moisture_current,soil_moisture_previous,soil_moisture_change,soil_moisture_change_percent,source,source_product,source_resolution,data_status,source_timestamp,ingestion_timestamp,quality_flag
KOH_00043,Kohima,25.671866,93.908849,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00044,Kohima,25.676381,93.908883,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00045,Kohima,25.680895,93.908918,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00046,Kohima,25.685410,93.908952,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00047,Kohima,25.689924,93.908986,EASE2_M09_R0459_C2933,2026-09-15T18:00:00Z,0.2576,0.1659,0.0917,55.27,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00048,Kohima,25.694439,93.909020,EASE2_M09_R0459_C2933,2026-09-15T18:00:00Z,0.2576,0.1659,0.0917,55.27,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00049,Kohima,25.698578,93.909694,EASE2_M09_R0459_C2933,2026-09-15T18:00:00Z,0.2576,0.1659,0.0917,55.27,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00050,Kohima,25.701947,93.910956,EASE2_M09_R0459_C2933,2026-09-15T18:00:00Z,0.2576,0.1659,0.0917,55.27,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00051,Kohima,25.623305,93.915139,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00052,Kohima,25.626903,93.913745,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00053,Kohima,25.631204,93.913521,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00054,Kohima,25.635718,93.913556,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00055,Kohima,25.640233,93.913590,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00056,Kohima,25.644748,93.913624,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00057,Kohima,25.649262,93.913659,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00058,Kohima,25.653777,93.913693,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00059,Kohima,25.658291,93.913728,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00060,Kohima,25.662806,93.913762,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00061,Kohima,25.667320,93.913796,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00062,Kohima,25.671835,93.913831,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00063,Kohima,25.676350,93.913865,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
